id	name	bbx
2887	Harasztifalu	16.5310514,47.0337981,16.5871932,47.059489
2996	Sé	16.5354867,47.209906,16.5654412,47.2624636
1084	Kozmadombja	16.536188,46.7553184,16.6150215,46.7939688
1096	Lovászi	16.5368277,46.5339767,16.5924217,46.5690379
2874	Felsőjánosfa	16.5376676,46.8376676,16.5688391,46.8715195
2924	Körmend	16.5378098,46.9789403,16.6866817,47.0575163
2886	Halogy	16.5461824,46.9394784,16.5799577,46.9869775
3015	Szőce	16.5491869,46.8681058,16.6147996,46.9299878
2650	Harka	16.5513725,47.6174209,16.6248462,47.6482278
1145	Pórszombat	16.5523142,46.7030251,16.6175012,46.756786
2883	Gyöngyösfalu	16.5536087,47.3019234,16.6193841,47.3295401
1071	Kerkaszentkirály	16.5559374,46.4772547,16.6089577,46.512606
2864	Daraboshegy	16.5560052,46.9288986,16.5806598,46.9669887
2930	Lukácsháza	16.5583925,47.3233219,16.6052928,47.3592731
2986	Rádóckölked	16.5626315,47.0543279,16.6494462,47.111025
1182	Tormafölde	16.5666016,46.5235969,16.6576446,46.5760612
1023	Dobri	16.5672664,46.5051556,16.6383938,46.5457893
2950	Nádasd	16.5711735,46.9075233,16.6416306,46.9950683
2966	Ólmod	16.5749935,47.3978149,16.609773,47.4220554
1177	Szécsisziget	16.5831076,46.5577593,16.6231848,46.5916957
1236	Muraszemenye	16.5849242,46.456419,16.6741532,46.4985489
2975	Peresznye	16.5873898,47.4102217,16.6775811,47.4469521
2953	Nemescsó	16.5895717,47.3371172,16.6321983,47.3717271
2895	Horvátzsidány	16.5906371,47.3779343,16.6430438,47.4237103
1057	Iklódbördőce	16.5915916,46.5736572,16.6367215,46.6429704
1208	Zalaháshágy	16.5921704,46.8698252,16.659461,46.9158068
1150	Pusztaapáti	16.5922033,46.7487906,16.6424074,46.7914056
2872	Egyházasrádóc	16.5961416,47.0577514,16.671666,47.1276005
1179	Szilvágy	16.5974249,46.69679,16.6722815,46.7698878
2760	Fertőrákos	16.5992979,47.6904147,16.6704517,47.7603828
1234	Csörnyeföld	16.6011041,46.4832188,16.6742897,46.5466333
2981	Pusztacsó	16.6046055,47.3075823,16.6393982,47.3636002
2920	Kisunyom	16.6098253,47.1184149,16.6581141,47.1546863
1051	Hernyék	16.610862,46.6347128,16.6564684,46.6815277
1066	Keménfa	16.6132783,46.786655,16.6555642,46.8532507
2839	Balogunyom	16.6150008,47.1391391,16.6891876,47.1801815
2933	Magyarszecsőd	16.6159736,47.0180072,16.6722966,47.0628605
2670	Kópháza	16.6180668,47.6228652,16.6830387,47.6555279
1127	Nova	16.6184072,46.6534222,16.7265215,46.7367059
3003	Söpte	16.6185074,47.2599011,16.6848931,47.3111839
2927	Kőszegpaty	16.6192071,47.3111839,16.6748721,47.3779343
1191	Vaspör	16.6202288,46.885532,16.6940531,46.925475
1021	Csömödér	16.6234772,46.6010389,16.6596522,46.6386078
2921	Kiszsidány	16.6251451,47.3760679,16.6607356,47.4164147
3049	Tömörd	16.6269269,47.3426196,16.7078303,47.3890463
2905	Katafa	16.6270268,46.9649401,16.6503099,46.9989887
1139	Páka	16.6284357,46.5534788,16.7064938,46.6188401
2889	Hegyháthodász	16.6311679,46.9209471,16.683023,46.9614619
1206	Zalacséb	16.6333103,46.8527405,16.686246,46.8894992
1085	Kustánszeg	16.6333233,46.7653679,16.6949644,46.8037097
1159	Salomvár	16.636104,46.8025519,16.6963251,46.8619087
2890	Hegyhátsál	16.6378097,46.9359401,16.6589183,46.9765825
3024	Vasasszonyfa	16.6393982,47.2928775,16.69751,47.3439675
2859	Csepreg	16.6413644,47.3415582,16.7946568,47.4358284
2942	Molnaszecsőd	16.6422376,47.0157823,16.7019014,47.0692768
1081	Kissziget	16.6466682,46.6110098,16.6868472,46.6455411
2722	Répcevis	16.6467065,47.4275811,16.6882557,47.4569154
2945	Nagymizdó	16.6484545,46.959945,16.6757294,47.0078176
3001	Sorokpolány	16.6490119,47.1036382,16.694949,47.1582012
1100	Maróc	16.6501697,46.5306377,16.678662,46.5592559
2959	Nemesrempehollós	16.6508132,47.0685846,16.7107083,47.1091859
1133	Ozmánbük	16.6513894,46.9115184,16.7011193,46.9376889
2689	Nagycenk	16.6520457,47.5595946,16.7256585,47.6296215
2755	Zsira	16.6523387,47.443153,16.7196875,47.5092137
1233	Zebecke	16.6530064,46.6336722,16.6978166,46.6604658
1000	Becsvölgye	16.6534446,46.7153032,16.7187096,46.792738
1173	Szentmargitfalva	16.6550536,46.4832822,16.6856561,46.5028257
1126	Németfalu	16.6560724,46.7928189,16.7011402,46.8347714
1109	Murarátka	16.6571758,46.4449167,16.7101254,46.501227
1076	Kiscsehi	16.6587745,46.4968782,16.7192081,46.5341816
1221	Zalaszentgyörgy	16.6612172,46.8618629,16.7229888,46.8997419
2993	Salköveskút	16.6642784,47.2787844,16.7347574,47.3289454
2871	Egyházashollós	16.6653874,47.0233273,16.7448349,47.0843825
